DRRALL,CRRINT,CRRALL,GEO_ID,NAME_rr,state,county,NAME_demo,B01001_001E,B01001_003E,B01001_027E,B03002_012E,B03002_001E,B25003_001E,B25003_003E,children_under_5,pct_children_under_5,pct_hispanic,pct_renter,self_response_rate,internet_response_rate,estimated_hispanic_gap,_rescued_data
0.0,53.6,70.5,0500000US25013,"Hampden County, Massachusetts",25,13,"Hampden County, Massachusetts",464575,12682,11937,124544,464575,183380,70198,24619,5.3,26.81,38.28,70.5,53.6,4.02,
0.0,64.2,75.3,0500000US25015,"Hampshire County, Massachusetts",25,15,"Hampshire County, Massachusetts",153931,2526,2550,9540,153931,61414,19113,5076,3.3,6.2,31.12,75.3,64.2,0.93,
0.0,66.9,75.2,0500000US25017,"Middlesex County, Massachusetts",25,17,"Middlesex County, Massachusetts",1623109,42372,40413,136457,1623109,629775,242466,82785,5.1,8.41,38.5,75.2,66.9,1.26,
0.0,26.2,30.3,0500000US25019,"Nantucket County, Massachusetts",25,19,"Nantucket County, Massachusetts",14065,408,333,2120,14065,4659,1346,741,5.27,15.07,28.89,30.3,26.2,2.26,
0.0,65.8,75.6,0500000US25021,"Norfolk County, Massachusetts",25,21,"Norfolk County, Massachusetts",722112,19174,18187,37445,722112,279104,88455,37361,5.17,5.19,31.69,75.6,65.8,0.78,
0.0,58.6,71.4,0500000US25023,"Plymouth County, Massachusetts",25,23,"Plymouth County, Massachusetts",529548,13969,13184,23099,529548,198937,45096,27153,5.13,4.36,22.67,71.4,58.6,0.65,
0.0,49.8,59.5,0500000US25025,"Suffolk County, Massachusetts",25,25,"Suffolk County, Massachusetts",785443,19840,19303,184846,785443,319307,203667,39143,4.98,23.53,63.78,59.5,49.8,3.53,
0.0,59.4,70.7,0500000US25027,"Worcester County, Massachusetts",25,27,"Worcester County, Massachusetts",858898,22864,21612,107201,858898,330319,112506,44476,5.18,12.48,34.06,70.7,59.4,1.87,
0.0,40.2,50.9,0500000US25001,"Barnstable County, Massachusetts",25,1,"Barnstable County, Massachusetts",229436,4152,3854,8047,229436,99969,18635,8006,3.49,3.51,18.64,50.9,40.2,0.53,
0.0,39.5,66.6,0500000US37003,"Alexander County, North Carolina",37,3,"Alexander County, North Carolina",36505,888,788,1872,36505,13761,2581,1676,4.59,5.13,18.76,66.6,39.5,0.77,
0.0,17.3,44.2,0500000US37005,"Alleghany County, North Carolina",37,5,"Alleghany County, North Carolina",10989,220,231,1103,10989,4937,962,451,4.1,10.04,19.49,44.2,17.3,1.51,
0.0,23.3,52.7,0500000US37007,"Anson County, North Carolina",37,7,"Anson County, North Carolina",22200,561,546,1012,22200,8266,2694,1107,4.99,4.56,32.59,52.7,23.3,0.68,
0.0,28.6,51.6,0500000US37009,"Ashe County, North Carolina",37,9,"Ashe County, North Carolina",26759,593,449,1406,26759,11823,2392,1042,3.89,5.25,20.23,51.6,28.6,0.79,
0.0,17.8,32.6,0500000US37011,"Avery County, North Carolina",37,11,"Avery County, North Carolina",17679,311,329,904,17679,6481,1390,640,3.62,5.11,21.45,32.6,17.8,0.77,
0.0,34.0,58.2,0500000US37013,"Beaufort County, North Carolina",37,13,"Beaufort County, North Carolina",44711,1140,981,3734,44711,18972,5544,2121,4.74,8.35,29.22,58.2,34.0,1.25,
0.0,22.9,53.0,0500000US37015,"Bertie County, North Carolina",37,15,"Bertie County, North Carolina",17818,381,376,258,17818,6984,1751,757,4.25,1.45,25.07,53.0,22.9,0.22,
0.0,21.2,49.0,0500000US37017,"Bladen County, North Carolina",37,17,"Bladen County, North Carolina",29807,779,589,2411,29807,11386,3453,1368,4.59,8.09,30.33,49.0,21.2,1.21,
0.0,41.9,53.3,0500000US37019,"Brunswick County, North Carolina",37,19,"Brunswick County, North Carolina",139721,2660,2479,7114,139721,60915,9907,5139,3.68,5.09,16.26,53.3,41.9,0.76,
0.0,54.8,64.0,0500000US37021,"Buncombe County, North Carolina",37,21,"Buncombe County, North Carolina",269449,6427,6021,19093,269449,102921,36645,12448,4.62,7.09,35.6,64.0,54.8,1.06,
0.0,39.3,62.5,0500000US37023,"Burke County, North Carolina",37,23,"Burke County, North Carolina",87799,2147,1963,5858,87799,35195,8409,4110,4.68,6.67,23.89,62.5,39.3,1.0,
0.0,55.9,64.6,0500000US37025,"Cabarrus County, North Carolina",37,25,"Cabarrus County, North Carolina",226396,7165,6658,25629,226396,76880,20767,13823,6.11,11.32,27.01,64.6,55.9,1.7,
0.0,48.5,67.3,0500000US37027,"Caldwell County, North Carolina",37,27,"Caldwell County, North Carolina",80716,2105,1883,4967,80716,32120,8173,3988,4.94,6.15,25.45,67.3,48.5,0.92,
0.0,58.9,70.3,0500000US37029,"Camden County, North Carolina",37,29,"Camden County, North Carolina",10547,435,142,391,10547,3871,617,577,5.47,3.71,15.94,70.3,58.9,0.56,
0.0,36.0,45.1,0500000US37031,"Carteret County, North Carolina",37,31,"Carteret County, North Carolina",68353,1367,1260,3102,68353,30414,8240,2627,3.84,4.54,27.09,45.1,36.0,0.68,
0.0,22.8,59.1,0500000US37033,"Caswell County, North Carolina",37,33,"Caswell County, North Carolina",22747,530,449,1089,22747,8507,2081,979,4.3,4.79,24.46,59.1,22.8,0.72,
0.0,53.2,68.8,0500000US37035,"Catawba County, North Carolina",37,35,"Catawba County, North Carolina",161011,4428,4278,16667,161011,64442,18659,8706,5.41,10.35,28.95,68.8,53.2,1.55,
0.0,57.2,70.8,0500000US37037,"Chatham County, North Carolina",37,37,"Chatham County, North Carolina",76754,1697,1791,9332,76754,31131,6282,3488,4.54,12.16,20.18,70.8,57.2,1.82,
0.0,21.0,48.7,0500000US37039,"Cherokee County, North Carolina",37,39,"Cherokee County, North Carolina",28868,531,531,1071,28868,12758,2389,1062,3.68,3.71,18.73,48.7,21.0,0.56,
