DRRALL,CRRINT,CRRALL,GEO_ID,NAME_rr,state,NAME_demo,B01001_001E,B01001_003E,B01001_027E,B03002_001E,B03002_012E,B03002_003E,B03002_004E,B03002_006E,B25003_001E,B25003_002E,B25003_003E,children_under_5,pct_children_under_5,pct_hispanic,pct_renter,self_response_rate,internet_response_rate,estimated_hispanic_gap,_rescued_data
0.0,57.7,69.3,0400000US16,Idaho,16,Idaho,1854109,57644,54932,1854109,242236,1484468,11919,24189,675323,486279,189044,112576,6.07,13.06,27.99,69.3,57.7,1.96,
0.0,59.3,72.2,0400000US55,Wisconsin,55,Wisconsin,5882128,164772,156822,5882128,430976,4698967,356150,167512,2425488,1641590,783898,321594,5.47,7.33,32.32,72.2,59.3,1.1,
0.0,45.0,61.0,0400000US40,Oklahoma,40,Oklahoma,3970497,126513,120953,3970497,458686,2529927,277702,90666,1522711,1004078,518633,247466,6.23,11.55,34.06,61.0,45.0,1.73,
0.0,54.3,69.6,0400000US42,Pennsylvania,42,Pennsylvania,12989208,352395,336176,12989208,1055108,9671148,1347784,469434,5193727,3593490,1600237,688571,5.3,8.12,30.81,69.6,54.3,1.22,
0.0,49.1,66.0,0400000US47,Tennessee,47,Tennessee,6923772,205719,196872,6923772,412622,5024964,1116871,127367,2713635,1819725,893910,402591,5.81,5.96,32.94,66.0,49.1,0.89,
0.0,55.9,71.3,0400000US26,Michigan,26,Michigan,10057921,283361,269442,10057921,550427,7394140,1346918,325464,4009253,2906470,1102783,552803,5.5,5.47,27.51,71.3,55.9,0.82,
0.0,47.1,61.1,0400000US56,Wyoming,56,Wyoming,577929,16772,16017,577929,60518,476921,4488,4551,234156,168393,65763,32789,5.67,10.47,28.09,61.1,47.1,1.57,
0.0,46.4,60.5,0400000US50,Vermont,50,Vermont,643816,14536,13739,643816,13793,588638,7548,10678,265858,193222,72636,28275,4.39,2.14,27.32,60.5,46.4,0.32,
0.0,50.5,68.2,0400000US21,Kentucky,21,Kentucky,4502935,136982,129571,4502935,180481,3748657,355368,68569,1769102,1205067,564035,266553,5.92,4.01,31.88,68.2,50.5,0.6,
0.0,55.3,66.6,0400000US32,Nevada,32,Nevada,3104817,90832,87271,3104817,918509,1439924,278689,256661,1163671,679960,483711,178103,5.74,29.58,41.57,66.6,55.3,4.44,
0.0,52.3,67.5,0400000US46,South Dakota,46,South Dakota,890342,29371,28714,890342,39197,718056,19172,12678,351182,240328,110854,58085,6.52,4.4,31.57,67.5,52.3,0.66,
0.0,50.4,63.1,0400000US15,Hawaii,15,Hawaii,1450589,43756,40796,1450589,159023,305224,26664,529361,483906,298816,185090,84552,5.83,10.96,38.25,63.1,50.4,1.64,
0.0,57.4,69.2,0400000US41,Oregon,41,Oregon,4229374,110843,104913,4229374,583066,3100790,75790,185149,1680800,1062522,618278,215756,5.1,13.79,36.78,69.2,57.4,2.07,
0.0,45.3,61.0,0400000US45,South Carolina,45,South Carolina,5142750,145790,137491,5142750,318875,3240171,1316074,84972,2023085,1434662,588423,283281,5.51,6.2,29.09,61.0,45.3,0.93,
0.0,64.4,71.0,0400000US49,Utah,49,Utah,3283809,123087,116430,3283809,480843,2521231,34485,76283,1062819,751652,311167,239517,7.29,14.64,29.28,71.0,64.4,2.2,
0.0,56.2,71.5,0400000US19,Iowa,19,Iowa,3188836,97265,92532,3188836,208637,2672930,117940,78241,1290139,922684,367455,189797,5.95,6.54,28.48,71.5,56.2,0.98,
0.0,51.7,65.5,0400000US44,Rhode Island,44,Rhode Island,1094250,27570,26602,1094250,183196,764160,58304,37177,432219,270950,161269,54172,4.95,16.74,37.31,65.5,51.7,2.51,
0.0,63.0,75.1,0400000US27,Minnesota,27,Minnesota,5695292,173990,166556,5695292,327049,4423442,377173,284384,2256126,1631701,624425,340546,5.98,5.74,27.68,75.1,63.0,0.86,
0.0,37.2,60.4,0400000US28,Mississippi,28,Mississippi,2958846,90990,87256,2958846,97123,1653172,1098675,28663,1121269,775465,345804,178246,6.02,3.28,30.84,60.4,37.2,0.49,
0.0,58.5,71.5,0400000US51,Virginia,51,Virginia,8624511,252859,241289,8624511,865015,5172397,1601668,586554,3289776,2199299,1090477,494148,5.73,10.03,33.15,71.5,58.5,1.5,
0.0,62.5,72.4,0400000US53,Washington,53,Washington,7688549,225973,214199,7688549,1037153,5038521,290907,702336,2979272,1900252,1079020,440172,5.73,13.49,36.22,72.4,62.5,2.02,
0.0,51.2,62.8,0400000US48,Texas,48,Texas,29243342,981619,941803,29243342,11665280,11732834,3449557,1487200,10490553,6545727,3944826,1923422,6.58,39.89,37.6,62.8,51.2,5.98,
0.0,54.0,70.3,0400000US18,Indiana,18,Indiana,6784403,209991,199582,6784403,510984,5238582,631919,167597,2653596,1860566,793030,409573,6.04,7.53,29.89,70.3,54.0,1.13,
0.0,58.0,69.6,0400000US06,California,6,California,39356104,1156233,1102075,39356104,15617930,13848294,2102510,5861649,13315822,7407361,5908461,2258308,5.74,39.68,44.37,69.6,58.0,5.95,
0.0,51.1,64.2,0400000US36,New York,36,New York,19994379,573150,548722,19994379,3895714,10761815,2767223,1752744,7604523,4128119,3476404,1121872,5.61,19.48,45.71,64.2,51.1,2.92,
